prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Surakarta - Manajemen Bisnis Syariah,IAIN Purwokerto  - Ekonomi Syariah
UIN Walisongo Semarang  - Ilmu Al Qur'an dan Tafsir (Tafsir Hadits),IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Walisongo Semarang  - Akuntansi Syariah,IAIN Purwokerto  - Manajemen Dakwah
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Pengembangan Masyarakat Islam
UIN Walisongo Semarang  - Tasawuf dan Psikoterapi,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam,IAIN Purwokerto  - Manajemen Dakwah
IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
IAIN Salatiga  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,IAIN Purwokerto  - Komunikasi Penyiaran Islam
UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,IAIN Purwokerto  - Sejarah Peradaban  Islam
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Walisongo Semarang  - Pendidikan Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Gunung Djati Bandung  - Ilmu Al-Quran dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
IAIN Purwokerto  - Manajemen Pendidikan Islam,IAIN Purwokerto  - Sejarah Peradaban  Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Syarif Hidayatullah Jakarta - Hukum Keluarga (Ahwal Syakhsiyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah)
UIN Syarif Hidayatullah Jakarta - Pendidikan Guru MI,UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Manajemen Dakwah,IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam,IAIN Salatiga  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Sejarah Peradaban  Islam,IAIN Pekalongan - Bimbingan Penyuluhan Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,IAIN Purwokerto  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,IAIN Purwokerto  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
IAIN Surakarta - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Surakarta - Sastra Inggris
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Pekalongan - Manajemen Dakwah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir
IAIN Purwokerto  - Hukum Tata Negara (Siyasah),IAIN Purwokerto  - Hukum Keluarga Islam (HKI),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Walisongo Semarang  - Ilmu Al Qur'an dan Tafsir (Tafsir Hadits),IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir
IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Sejarah dan Peradaban Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Syarif Hidayatullah Jakarta - Bimbingan dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam
UIN Syarif Hidayatullah Jakarta - Pendidikan Ilmu Pengetahuan Sosial,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Indonesia
IAIN Purwokerto  - Hukum Tata Negara (Siyasah),IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Walisongo Semarang  - Akuntansi Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Walisongo Semarang  - Akuntansi Syariah,IAIN Purwokerto  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
IAIN Purwokerto  - Perbankan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Gunung Djati Bandung  - Hukum Keluarga (Ahwal Al-Syakhsiyah),IAIN Purwokerto  - Hukum Keluarga Islam (HKI)
IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Walisongo Semarang  - Akuntansi Syariah
IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Pendidikan Agama Islam
IAIN Purwokerto  - Hukum Ekonomi Syariah (HES),UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Indonesia,IAIN Purwokerto  - Perbankan Syari'ah
IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Pendidikan Agama Islam
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir
UIN Sunan Gunung Djati Bandung  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Manajemen Pendidikan Islam,IAIN Purwokerto  - Hukum Keluarga Islam (HKI)
UIN Maulana Malik Ibrahim Malang  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Gunung Djati Bandung  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Islam Anak Usia Dini,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
IAIN Purwokerto  - Ekonomi Syariah,IAIN Purwokerto  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Syarif Hidayatullah Jakarta - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Ampel Surabaya  - Komunikasi dan Penyiaran Islam,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam
IAIN Purwokerto  - Ekonomi Syariah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Tadris Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
IAIN Purwokerto  - Komunikasi Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah),UIN Sunan Gunung Djati Bandung  - Manajemen Haji dan Umrah
IAIN Purwokerto  - Komunikasi Penyiaran Islam,IAIN Purwokerto  - Hukum Ekonomi Syariah (HES),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,IAIN Purwokerto  - Ekonomi Syariah
IAIN Purwokerto  - Tadris Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam
UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,IAIN Purwokerto  - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam
UIN Walisongo Semarang  - Akuntansi Syariah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Pendidikan Agama Islam
IAIN Purwokerto  - Hukum Keluarga Islam (HKI),UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam
UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Walisongo Semarang  - Pengembangan Masyarakat Islam,IAIN Salatiga  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Ampel Surabaya  - Bimbingan dan Konseling Islam,UIN Sunan Gunung Djati Bandung  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
IAIN Purwokerto  - Hukum Keluarga Islam (HKI),IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,IAIN Purwokerto  - Pendidikan Bahasa Arab,IAIN Metro - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Walisongo Semarang  - Manajemen Pendidikan Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
IAIN Purwokerto  - Ekonomi Syariah,IAIN Salatiga  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),IAIN Surakarta - Hukum Keluarga Islam
UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Ekonomi Syariah
IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah,IAIN Pekalongan - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
IAIN Purwokerto  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Hukum Tata Negara (Siyasah)
IAIN Purwokerto  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Walisongo Semarang  - Pendidikan Bahasa Arab,IAIN Purwokerto  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Pekalongan - Tadris Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Syekh Nurjati Cirebon - Perbankan Syariah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Walisongo Semarang  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),IAIN Salatiga  - Psikologi Islam
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Ampel Surabaya  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,IAIN Purwokerto  - Sejarah Peradaban  Islam,
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,UIN Sunan Gunung Djati Bandung  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Walisongo Semarang  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Syarif Hidayatullah Jakarta - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
IAIN Purwokerto  - Hukum Ekonomi Syariah (HES),UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Maulana Malik Ibrahim Malang  - Tadris Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam,IAIN Purwokerto  - Pendidikan Agama Islam
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Walisongo Semarang  - Pendidikan Bahasa Arab,IAIN Purwokerto  - Pendidikan Agama Islam
IAIN Purwokerto  - Komunikasi Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
